municipality,eur_m2,period,source
Andiran,6.73,2025,Carte des loyers
Andlau,9.52,2025,Carte des loyers
Andoins,11.44,2025,Carte des loyers
Andolsheim,10.31,2025,Carte des loyers
Andon,11.0,2025,Carte des loyers
Andonville,10.73,2025,Carte des loyers
Andornay,7.6,2025,Carte des loyers
Andouillé,7.44,2025,Carte des loyers
Andouillé-Neuville,10.09,2025,Carte des loyers
Andouque,8.32,2025,Carte des loyers
Andrein,9.12,2025,Carte des loyers
Andres,8.69,2025,Carte des loyers
Andrest,9.7,2025,Carte des loyers
Andrezel,13.34,2025,Carte des loyers
Andryes,7.71,2025,Carte des loyers
Andrésy,16.93,2025,Carte des loyers
Andrézieux-Bouthéon,10.98,2025,Carte des loyers
Anduze,9.9,2025,Carte des loyers
Andé,10.9,2025,Carte des loyers
Anet,10.86,2025,Carte des loyers
Angaïs,11.44,2025,Carte des loyers
Angeac-Champagne,8.85,2025,Carte des loyers
Angeac-Charente,7.71,2025,Carte des loyers
Angecourt,7.18,2025,Carte des loyers
Angeduc,8.46,2025,Carte des loyers
Angely,7.83,2025,Carte des loyers
Angeot,11.6,2025,Carte des loyers
Angers,13.26,2025,Carte des loyers
Angerville,10.76,2025,Carte des loyers
Angerville-Bailleul,8.99,2025,Carte des loyers
Angerville-l'Orcher,11.42,2025,Carte des loyers
Angerville-la-Campagne,9.97,2025,Carte des loyers
Angerville-la-Martel,8.99,2025,Carte des loyers
Angervilliers,14.04,2025,Carte des loyers
Angeville,8.89,2025,Carte des loyers
Angevillers,12.49,2025,Carte des loyers
Angicourt,14.92,2025,Carte des loyers
Angiens,9.45,2025,Carte des loyers
Angirey,7.98,2025,Carte des loyers
Angivillers,7.93,2025,Carte des loyers
Anglade,8.56,2025,Carte des loyers
Anglards-de-Saint-Flour,7.1,2025,Carte des loyers
Anglards-de-Salers,7.78,2025,Carte des loyers
Anglars,7.61,2025,Carte des loyers
Anglars-Juillac,7.51,2025,Carte des loyers
Anglars-Nozac,7.51,2025,Carte des loyers
Anglars-Saint-Félix,7.19,2025,Carte des loyers
Anglefort,8.97,2025,Carte des loyers
Anglemont,7.4,2025,Carte des loyers
Angles,10.66,2025,Carte des loyers
Angles-sur-l'Anglin,6.12,2025,Carte des loyers
Anglesqueville-l'Esneval,11.54,2025,Carte des loyers
Anglesqueville-la-Bras-Long,9.45,2025,Carte des loyers
Anglet,17.09,2025,Carte des loyers
Angliers,12.26,2025,Carte des loyers
Anglure,6.64,2025,Carte des loyers
Anglure-sous-Dun,7.86,2025,Carte des loyers
Angluzelles-et-Courcelles,6.64,2025,Carte des loyers
Anglès,7.33,2025,Carte des loyers
Angoisse,7.15,2025,Carte des loyers
Angomont,7.4,2025,Carte des loyers
Angos,9.74,2025,Carte des loyers
Angoulins,14.48,2025,Carte des loyers
Angoulême,9.31,2025,Carte des loyers
Angoumé,10.74,2025,Carte des loyers
Angous,9.91,2025,Carte des loyers
