country,lat,lon,name
ES,28.3601,-16.3669,Playa de la Hornilla
ES,28.3625,-16.9075,
ES,28.3643,-14.1669,Playa de la Solapa
ES,28.3656,-13.8718,
ES,28.3662,-16.3634,
ES,28.3683,-16.8802,Playa del Fraile
ES,28.3701,-16.8742,Playa Las Mujeres
ES,28.3708,-16.768,Playa del Muelle
ES,28.3709,-16.3619,Playa de Punta Larga
ES,28.3713,-16.7701,Playa del Chatarrero
ES,28.3714,-16.7509,Playa de las Aguas
ES,28.3717,-16.7682,La Escalonada
ES,28.3722,-16.8708,Playa de las Arenas
ES,28.3726,-16.7705,
ES,28.373,-16.7793,
ES,28.3734,-16.7808,
ES,28.3737,-16.7914,Playa La Caleta de Interián
ES,28.374,-16.772,Playa la Magdalena
ES,28.3741,-16.7766,Malpéi
ES,28.3747,-16.7894,
ES,28.3749,-16.7859,
ES,28.3755,-16.7941,
ES,28.3758,-16.8601,Playa de los Barqueros
ES,28.3759,-16.7427,Playa de la Consolación
ES,28.3761,-16.8075,Playa de Aguadulce
ES,28.3762,-16.8068,
ES,28.3768,-16.8027,Playa del Gomero
ES,28.3768,-16.7962,Charco El Romantico
ES,28.377,-16.7308,Playa La Coronela
ES,28.3773,-16.798,Charco Las damas
ES,28.3779,-16.3604,
ES,28.378,-16.7238,Playa de San Marcos
ES,28.3782,-16.7404,Playa La Sabina
ES,28.3785,-16.361,Playa Charco del Musgo
ES,28.3792,-13.8651,
ES,28.3796,-16.3604,Playa Caletillas
ES,28.38,-16.3595,Playa Cho Vito
ES,28.3801,-16.8148,Playa Charco de la Araña
ES,28.381,-16.7224,
ES,28.384,-16.7011,Playa Moreno
ES,28.3877,-13.8619,Playa de la Guirra
ES,28.392,-14.1585,Playa de los Muertes
ES,28.3941,-13.8579,Playa del Castillo
ES,28.3943,-16.6031,Playa del Socorro
ES,28.3945,-16.6755,Playa de Santo Domingo
ES,28.3945,-16.6385,Playa de Las Aguas
ES,28.3956,-16.6493,Playa de los Roques
ES,28.3977,-16.5926,Playa de Castro
ES,28.3979,-16.3353,
ES,28.3983,-16.5882,Playa de la Fajana
ES,28.3986,-16.5887,Playa de la Fajana
ES,28.3992,-14.1565,Playa de Ajuy
ES,28.4006,-16.6738,
ES,28.401,-16.5829,Callao de Méndez
ES,28.4016,-16.3252,
ES,28.4018,-16.3265,Radazul
ES,28.4021,-16.3304,
ES,28.404,-16.3176,Playa La Nea
ES,28.4041,-16.5737,Playa de los Roques
ES,28.411,-14.1572,
ES,28.4111,-16.5632,Playa Punta Brava
ES,28.4122,-16.5613,Playa Charcón
ES,28.4125,-16.5609,
ES,28.4126,-16.5599,Playa Jardín
ES,28.4134,-16.5595,Playa Castillo
ES,28.4175,-16.5466,Playa de San Telmo
ES,28.4177,-16.5504,Playa de Puerto
ES,28.4178,-16.5202,Playa Bollullo
ES,28.4178,-16.5201,
ES,28.4184,-16.5407,Playa Martiánez
ES,28.4187,-16.5188,Playa Bollullo
ES,28.4191,-16.5145,Playa de Martínez-Alonso
ES,28.4208,-16.5101,Playa Los Patos
ES,28.4243,-16.5046,Playa del Ancón
ES,28.4243,-16.2935,Playa de Santa Ana
ES,28.4249,-13.8579,Las Caletillas
ES,28.4262,-16.2919,Playa del Muerto
ES,28.4534,-16.2539,Caleta de Negros
ES,28.4558,-17.8441,Playa del Faro
ES,28.4567,-17.8466,Playa de Malpique
ES,28.4586,-16.4638,La playa es tuya
ES,28.4589,-17.8511,Playa Echentive
ES,28.4592,-17.8548,
ES,28.4595,-17.8329,
ES,28.46,-17.8554,
ES,28.4609,-14.1183,
ES,28.4641,-17.8582,Playa de la Hilerita
ES,28.4656,-17.8315,Playa de las Cabras
ES,28.4717,-14.1042,
ES,28.4739,-14.102,
ES,28.4778,-13.8668,Playa Blanca
ES,28.4779,-16.2418,Playa de Tahodio
ES,28.482,-16.4386,
ES,28.4827,-17.8683,Punta Larga
ES,28.4855,-16.2371,Playa de Valleseco
ES,28.4857,-16.4331,
ES,28.4859,-16.2364,
ES,28.4863,-16.2358,Playa de Acapulco
ES,28.4896,-14.0923,Playa del Valle
ES,28.4927,-13.8624,Playa de Los Pozos
ES,28.4944,-14.0895,Playa de los Mozos
ES,28.4997,-17.8127,El Puertito
ES,28.4999,-13.8526,
ES,28.5005,-16.4252,Playa de La Arena
ES,28.5036,-17.8748,
ES,28.5042,-16.1907,
ES,28.508,-16.1843,Playa de las Teresitas
ES,28.5124,-16.4201,
ES,28.5129,-16.1761,Playa de las Gaviotas
ES,28.5148,-17.875,Playa de la Zamora Chica
ES,28.5152,-16.1732,Playa Chica
ES,28.5159,-17.8751,Playa de la Zamora Grande
ES,28.5161,-16.1713,Playa Fea
ES,28.5181,-16.1673,Playa de la Cueva del Agua
ES,28.5188,-17.7985,Playa el Rio
ES,28.5193,-16.1639,Playita del Burro
ES,28.5227,-16.1565,Playa del Llano
ES,28.5229,-16.1535,Playa de Igueste
ES,28.5311,-16.1389,Playa las Brujas
ES,28.5321,-16.1378,Playa de Zápata
ES,28.5346,-16.1322,Playa de Antequera
ES,28.5367,-16.1295,Playa de Toscalitos
ES,28.537,-13.8378,Playa de Puerto Lajas
ES,28.5429,-13.836,Playa de Barlovento
ES,28.5436,-16.3873,
ES,28.5437,-14.0637,
ES,28.5455,-16.1275,Playa de Ijuana
ES,28.5472,-16.3703,
ES,28.548,-16.1267,
ES,28.5558,-16.3454,Playa de Bajamar
ES,28.5567,-16.3389,
ES,28.5577,-17.7713,Playa de Azufre
ES,28.5606,-16.3332,
ES,28.5626,-16.1256,Playa de Anosma
ES,28.5665,-16.2208,Playa de Tachero
ES,28.5669,-16.3322,
ES,28.5671,-17.7638,
ES,28.5673,-16.2193,Playa de Tachero
ES,28.569,-14.0508,
ES,28.5693,-17.7618,Playa Arenas Blancas
ES,28.5695,-16.2962,Playa de Ocadila
ES,28.5697,-16.2055,Playa del Roque de las Bodegas
ES,28.5702,-16.2905,Playa de Pachila
ES,28.5703,-16.2532,Playa de Tamadite
ES,28.5704,-16.3326,
ES,28.5713,-14.0484,Playa de Jarugo
